id,root,root_pc,quality,is_seventh,symbol,pitch_names,pitch_classes,pcs_tuple
199,A,9,7,True,A7,"['A', 'C#', 'E', 'G']","[9, 1, 4, 7]","(1, 4, 7, 9)"
200,A,9,min7,True,Am7,"['A', 'C', 'E', 'G']","[9, 0, 4, 7]","(0, 4, 7, 9)"
201,A,9,halfdim7,True,Am7b5,"['A', 'C', 'Eb', 'G']","[9, 0, 3, 7]","(0, 3, 7, 9)"
202,A,9,dim7,True,Adim7,"['A', 'C', 'Eb', 'Gb']","[9, 0, 3, 6]","(0, 3, 6, 9)"
203,A,9,it6,False,AIt6,"['F', 'A', 'D#']","[5, 9, 3]","(3, 5, 9)"
204,A#,10,maj,False,A#,"['A#', 'C##', 'E#']","[10, 2, 5]","(2, 5, 10)"
205,A#,10,min,False,A#m,"['A#', 'C#', 'E#']","[10, 1, 5]","(1, 5, 10)"
206,A#,10,sus2,False,A#sus2,"['A#', 'B#', 'E#']","[10, 0, 5]","(0, 5, 10)"
207,A#,10,sus4,False,A#sus4,"['A#', 'D#', 'E#']","[10, 3, 5]","(3, 5, 10)"
208,A#,10,aug,False,A#aug,"['A#', 'C##', 'E##']","[10, 2, 6]","(2, 6, 10)"
209,A#,10,dim,False,A#dim,"['A#', 'C#', 'E']","[10, 1, 4]","(1, 4, 10)"
210,A#,10,maj7,True,A#maj7,"['A#', 'C##', 'E#', 'G##']","[10, 2, 5, 9]","(2, 5, 9, 10)"
211,A#,10,7,True,A#7,"['A#', 'C##', 'E#', 'G#']","[10, 2, 5, 8]","(2, 5, 8, 10)"
212,A#,10,min7,True,A#m7,"['A#', 'C#', 'E#', 'G#']","[10, 1, 5, 8]","(1, 5, 8, 10)"
213,A#,10,halfdim7,True,A#m7b5,"['A#', 'C#', 'E', 'G#']","[10, 1, 4, 8]","(1, 4, 8, 10)"
214,A#,10,dim7,True,A#dim7,"['A#', 'C#', 'E', 'G']","[10, 1, 4, 7]","(1, 4, 7, 10)"
215,A#,10,it6,False,A#It6,"['F#', 'A#', 'D##']","[6, 10, 4]","(4, 6, 10)"
216,Bb,10,maj,False,Bb,"['Bb', 'D', 'F']","[10, 2, 5]","(2, 5, 10)"
217,Bb,10,min,False,Bbm,"['Bb', 'Db', 'F']","[10, 1, 5]","(1, 5, 10)"
218,Bb,10,sus2,False,Bbsus2,"['Bb', 'C', 'F']","[10, 0, 5]","(0, 5, 10)"
219,Bb,10,sus4,False,Bbsus4,"['Bb', 'Eb', 'F']","[10, 3, 5]","(3, 5, 10)"
220,Bb,10,aug,False,Bbaug,"['Bb', 'D', 'F#']","[10, 2, 6]","(2, 6, 10)"
221,Bb,10,dim,False,Bbdim,"['Bb', 'Db', 'Fb']","[10, 1, 4]","(1, 4, 10)"
222,Bb,10,maj7,True,Bbmaj7,"['Bb', 'D', 'F', 'A']","[10, 2, 5, 9]","(2, 5, 9, 10)"
223,Bb,10,7,True,Bb7,"['Bb', 'D', 'F', 'Ab']","[10, 2, 5, 8]","(2, 5, 8, 10)"
224,Bb,10,min7,True,Bbm7,"['Bb', 'Db', 'F', 'Ab']","[10, 1, 5, 8]","(1, 5, 8, 10)"
225,Bb,10,halfdim7,True,Bbm7b5,"['Bb', 'Db', 'Fb', 'Ab']","[10, 1, 4, 8]","(1, 4, 8, 10)"
226,Bb,10,dim7,True,Bbdim7,"['Bb', 'Db', 'Fb', 'Abb']","[10, 1, 4, 7]","(1, 4, 7, 10)"
227,Bb,10,it6,False,BbIt6,"['Gb', 'Bb', 'E']","[6, 10, 4]","(4, 6, 10)"
228,B,11,maj,False,B,"['B', 'D#', 'F#']","[11, 3, 6]","(3, 6, 11)"
229,B,11,min,False,Bm,"['B', 'D', 'F#']","[11, 2, 6]","(2, 6, 11)"
230,B,11,sus2,False,Bsus2,"['B', 'C#', 'F#']","[11, 1, 6]","(1, 6, 11)"
231,B,11,sus4,False,Bsus4,"['B', 'E', 'F#']","[11, 4, 6]","(4, 6, 11)"
232,B,11,aug,False,Baug,"['B', 'D#', 'F##']","[11, 3, 7]","(3, 7, 11)"
233,B,11,dim,False,Bdim,"['B', 'D', 'F']","[11, 2, 5]","(2, 5, 11)"
234,B,11,maj7,True,Bmaj7,"['B', 'D#', 'F#', 'A#']","[11, 3, 6, 10]","(3, 6, 10, 11)"
235,B,11,7,True,B7,"['B', 'D#', 'F#', 'A']","[11, 3, 6, 9]","(3, 6, 9, 11)"
236,B,11,min7,True,Bm7,"['B', 'D', 'F#', 'A']","[11, 2, 6, 9]","(2, 6, 9, 11)"
237,B,11,halfdim7,True,Bm7b5,"['B', 'D', 'F', 'A']","[11, 2, 5, 9]","(2, 5, 9, 11)"
238,B,11,dim7,True,Bdim7,"['B', 'D', 'F', 'Ab']","[11, 2, 5, 8]","(2, 5, 8, 11)"
239,B,11,it6,False,BIt6,"['G', 'B', 'E#']","[7, 11, 5]","(5, 7, 11)"
